,provincia,SCRI_FLOOD,SCRI_WINDSTORM,SCRI_SEASTORM
0,A CORUNA,1.292682927,1.111111111,1.75
1,ALBACETE,1.333333333,1.183395693,2.026754386
2,ALICANTE,1.642857143,1.375,2.333333333
3,ALMERIA,1,1,2
4,ARABA,1,1,2.026754386
5,ASTURIAS,1.105263158,1,2
6,AVILA,1.166666667,1,2.026754386
7,BADAJOZ,1,1,2.026754386
8,BARCELONA,1.382716049,1.923076923,2.333333333
9,BIZKAIA,1.333333333,1.052631579,2
10,BURGOS,1.086956522,1.04,2.026754386
11,CACERES,1,1,2.026754386
12,CADIZ,1.045454545,1,2
13,CANTABRIA,1.142857143,1,2
14,CASTELLON,1.375,1,2
15,CEUTA,1,1.183395693,2.026754386
16,CIUDAD REAL,1,1,2.026754386
17,CORDOBA,1.1,1,2.026754386
18,CUENCA,1,2,2.026754386
19,GIPUZKOA,1,1.125,2
20,GIRONA,1.339622642,1.076923077,1.875
21,GRANADA,1.1,1.183395693,2.026754386
22,GUADALAJARA,1.133333333,1,2.026754386
23,HUELVA,1,1.666666667,2
24,HUESCA,1,1,2.026754386
25,ILLES BALEARS,1.142857143,1.192307692,2.083333333
26,JAEN,1,1.183395693,2.026754386
27,LA RIOJA,1,1,2.026754386
28,LAS PALMAS,1,4,2.026754386
29,LEON,1,1,2.026754386
30,LLEIDA,1.090909091,1,2.026754386
31,LUGO,1,1,2.026754386
32,MADRID,1.126760563,1,2.026754386
33,MALAGA,1.176470588,1,2
34,MURCIA,1.090909091,1.125,2
35,NAVARRA,1.142857143,1.181818182,2.026754386
36,OURENSE,1,1,2.026754386
37,PALENCIA,1,1,2.026754386
38,PONTEVEDRA,1.111111111,1,2
39,SALAMANCA,1.222222222,1,2.026754386
40,SANTA CRUZ DE TENERIFE,1,2,2
41,SEGOVIA,1,1.055555556,2.026754386
42,SEVILLA,1.117647059,1,2.026754386
43,SORIA,1,1,2.026754386
44,TARRAGONA,1.148148148,1.111111111,2.3
45,TERUEL,1,1,2.026754386
46,TOLEDO,1,1,2.026754386
47,VALENCIA,1.576923077,1.4,1.833333333
48,VALLADOLID,1,1.183395693,2.026754386
49,ZAMORA,1,1,2.026754386
50,ZARAGOZA,1.16,1,2.026754386
,,,,
