,provincia,SCRI_FLOOD,SCRI_WINDSTORM,SCRI_SEASTORM
3,ALMERIA,1.0,1.0,2.0
4,ARABA,1.0,1.0,2.026754386
5,ASTURIAS,1.105263158,1.0,2.0
6,AVILA,1.166666667,1.0,2.026754386
7,BADAJOZ,1.0,1.0,2.026754386
10,BURGOS,1.086956522,1.04,2.026754386
11,CACERES,1.0,1.0,2.026754386
12,CADIZ,1.045454545,1.0,2.0
13,CANTABRIA,1.142857143,1.0,2.0
16,CIUDAD REAL,1.0,1.0,2.026754386
17,CORDOBA,1.1,1.0,2.026754386
22,GUADALAJARA,1.133333333,1.0,2.026754386
24,HUESCA,1.0,1.0,2.026754386
27,LA RIOJA,1.0,1.0,2.026754386
29,LEON,1.0,1.0,2.026754386
30,LLEIDA,1.090909091,1.0,2.026754386
31,LUGO,1.0,1.0,2.026754386
32,MADRID,1.126760563,1.0,2.026754386
33,MALAGA,1.176470588,1.0,2.0
36,OURENSE,1.0,1.0,2.026754386
37,PALENCIA,1.0,1.0,2.026754386
38,PONTEVEDRA,1.111111111,1.0,2.0
41,SEGOVIA,1.0,1.055555556,2.026754386
42,SEVILLA,1.117647059,1.0,2.026754386
43,SORIA,1.0,1.0,2.026754386
45,TERUEL,1.0,1.0,2.026754386
46,TOLEDO,1.0,1.0,2.026754386
49,ZAMORA,1.0,1.0,2.026754386
50,ZARAGOZA,1.16,1.0,2.026754386
