,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
0,TARRAGONA,2831.0,1,0.0,7.966666666666666,1.4666666666666668,1014.625,9.0
1,ALICANTE,73082.0,1,0.1333333333333333,11.433333333333332,1.7666666666666668,1021.225,3.2
2,BARCELONA,153748.0,1,0.0,11.9,2.5,998.6166666666667,7.099999999999999
3,GIRONA,2030.0,1,1.0333333333333334,5.800000000000001,1.6666666666666667,835.3,4.0
5,CASTELLON,71052.0,1,1.1,8.8,2.1333333333333333,957.45,4.449999999999999
6,MURCIA,13237.0,1,0.6222222222222222,10.4,2.0,993.8299999999999,1.2
7,VALENCIA,48122.0,1,1.2857142857142858,11.971428571428572,2.4,989.9333333333334,3.425
8,ALICANTE,159125.0,1,42.66666666666666,8.3,4.533333333333333,1010.325,2.1
10,CASTELLON,169240.0,1,22.65,4.675,3.9666666666666655,951.7,0.0
11,ILLES BALEARS,212774.0,1,83.875,10.4,6.477777777777778,1013.43,0.1
12,MURCIA,14671.0,1,18.38888888888889,9.22222222222222,4.5375,984.9100000000001,2.266666666666667
14,VALENCIA,113368.0,1,53.614285714285714,9.071428571428571,5.233333333333333,982.6833333333334,0.0
16,BARCELONA,45757.0,1,42.6,7.566666666666666,10.183333333333334,996.4166666666667,0.6
19,ILLES BALEARS,271690.0,1,20.48888888888889,10.875,6.300000000000001,1013.87,0.8
20,MURCIA,147326.0,1,27.0875,6.800000000000001,4.475,983.69,0.0166666666666666
28,MURCIA,54613.0,1,19.8625,9.3375,1.9285714285714288,982.1600000000001,1.375
30,VALENCIA,383359.0,1,27.457142857142856,9.228571428571428,3.3,981.35,0.2
31,ALICANTE,48599.0,1,1.8666666666666665,9.466666666666669,2.1333333333333333,1013.775,3.8
33,CASTELLON,199032.0,1,2.0,8.233333333333333,2.8666666666666667,1013.25,2.9
35,ILLES BALEARS,78000.0,1,2.088888888888889,11.8375,4.611111111111111,1014.37,1.3
36,MURCIA,281.0,1,0.2777777777777778,10.011111111111113,2.1875,985.38,5.0600000000000005
37,TARRAGONA,221297.0,1,22.95,10.2,4.449999999999999,1012.25,1.05
38,VALENCIA,30437.0,1,6.7,9.7,2.975,983.2666666666667,1.125
39,BARCELONA,18162.0,1,0.3166666666666666,10.8,1.8,992.0833333333333,4.566666666666666
40,CASTELLON,65120.0,1,0.0,7.899999999999999,1.7,1015.55,4.3
41,GIRONA,41959.0,1,15.2,5.2,2.433333333333333,830.9,0.0
42,ILLES BALEARS,115336.0,1,0.0111111111111111,11.522222222222222,2.9000000000000004,1015.89,4.04
43,TARRAGONA,100443.0,1,0.5,9.925,1.6749999999999998,1013.85,7.375
44,VALENCIA,94017.0,1,0.15,8.5,1.95,985.3166666666666,4.375
45,TARRAGONA,16323.0,1,0.0,9.7,3.2,1013.6,6.55
46,GIRONA,7267.0,1,0.0,9.4,0.95,832.95,2.5
47,HUELVA,9216.0,1,0.0,15.866666666666664,0.9333333333333336,1024.6833333333334,4.6
48,TARRAGONA,1949.0,1,0.0,15.5,5.949999999999999,1017.2,7.0
49,ASTURIAS,19794.0,1,1.2555555555555555,11.05,2.4250000000000003,1010.7166666666667,0.5166666666666667
50,CANTABRIA,3063.0,1,0.0,14.014285714285714,2.2142857142857144,1002.45,4.7
51,GIPUZKOA,11594.0,1,0.25,14.666666666666666,2.233333333333333,1007.0699999999999,4.433333333333334
52,A CORUNA,4945.0,1,2.3666666666666667,11.883333333333333,2.033333333333333,1012.8166666666666,5.533333333333334
53,GIPUZKOA,8200.0,1,3.5666666666666664,11.2,3.1,1008.2,0.0
54,PONTEVEDRA,1900.0,1,0.65,12.4,1.4,1006.45,0.55
55,CANTABRIA,3045.0,1,0.0,10.742857142857144,2.1,999.11,5.033333333333333
56,BARCELONA,179516.0,1,0.0,10.316666666666668,3.1833333333333336,997.6333333333334,9.766666666666667
57,SANTA CRUZ DE TENERIFE,17636.0,1,0.0,21.67,7.88,979.5550000000001,5.616666666666667
58,TARRAGONA,3519.0,1,0.0,14.1,1.4,1005.3,4.05
59,ILLES BALEARS,1482.0,1,0.0888888888888888,13.466666666666669,6.955555555555556,1007.19,4.7
60,CANTABRIA,680.0,1,0.0,10.971428571428572,1.5857142857142856,1002.4399999999998,7.666666666666667
61,ALMERIA,5124.0,1,3.975,13.75,3.825,977.225,0.1
62,CADIZ,1843.0,1,7.899999999999999,13.2,2.2333333333333334,1005.0416666666665,1.0
63,MALAGA,1567.0,1,2.3,13.84,4.0600000000000005,1005.52,2.95
64,CASTELLON,936.0,1,23.9,9.125,4.0,944.775,3.5
65,CADIZ,468.0,1,2.6,17.133333333333336,5.683333333333334,1006.975,6.300000000000001
66,BARCELONA,70460.0,1,63.16666666666666,13.783333333333331,4.233333333333333,977.6833333333332,0.0
67,GIRONA,26503.0,1,44.96666666666667,9.633333333333333,2.5,821.1500000000001,0.0
68,SANTA CRUZ DE TENERIFE,4723.0,1,0.08,17.89,5.322222222222222,980.175,7.366666666666667
69,HUELVA,50748.0,1,0.0,21.066666666666663,2.3000000000000003,1016.8666666666666,13.2
70,SANTA CRUZ DE TENERIFE,35965.0,1,0.0,23.244444444444444,6.444444444444445,977.2944444444445,10.966666666666669
71,CANTABRIA,7388.0,2,3.2857142857142856,24.235714285714288,3.371428571428572,983.44,8.283333333333335
72,TARRAGONA,152.0,1,22.35,27.25,3.05,1000.075,4.45
73,ILLES BALEARS,2057.0,1,26.38888888888889,19.788888888888888,5.033333333333333,1014.03,0.52
74,HUELVA,15444.0,1,9.4,22.23333333333333,6.666666666666667,1010.2833333333332,6.9
75,ILLES BALEARS,16758.0,1,0.4888888888888889,20.688888888888886,7.555555555555555,1009.4,8.620000000000001
76,BIZKAIA,5897.0,1,51.833333333333336,14.466666666666669,9.566666666666668,987.35,2.4
77,GIRONA,15621.0,1,20.75,10.3,2.65,812.45,0.0
78,ILLES BALEARS,84113.0,2,4.372222222222224,16.977777777777778,5.388888888888889,996.9616666666667,6.012499999999999
79,ILLES BALEARS,10025.0,1,0.3333333333333333,16.844444444444445,2.6,1011.3166666666668,5.84
80,A CORUNA,20896.0,1,0.0999999999999999,15.05714285714286,4.5285714285714285,1006.4125,5.45
81,ASTURIAS,49314.0,2,0.0,14.022222222222222,2.64375,1006.0625000000001,7.824999999999999
82,CANTABRIA,6321.0,1,16.585714285714285,18.12857142857143,5.014285714285714,977.06,0.0
83,GIPUZKOA,30778.0,2,0.4583333333333333,16.15833333333333,4.158333333333333,990.105,2.7
84,BIZKAIA,2712.0,1,0.0,15.366666666666667,2.1333333333333333,1018.1,8.9
85,CANTABRIA,16971.0,1,0.0,13.428571428571429,1.9142857142857144,1001.55,9.033333333333331
86,GIPUZKOA,10083.0,1,0.0,14.216666666666669,1.6666666666666667,1006.1700000000001,8.5
87,PONTEVEDRA,3183.0,1,0.0,13.05,1.95,1003.6500000000001,8.95
88,ALICANTE,4896.0,1,4.133333333333334,18.33333333333333,6.033333333333334,1013.05,0.65
89,BARCELONA,20748.0,1,6.616666666666667,12.283333333333331,4.116666666666666,980.3666666666668,0.0
90,A CORUNA,1920.0,1,5.371428571428572,8.042857142857143,6.6571428571428575,991.75,1.425
91,ASTURIAS,32018.0,2,24.299107142857142,7.384920634920634,5.54375,986.5466666666667,0.8066666666666666
92,CANTABRIA,2614.0,1,1.0,5.728571428571429,3.0142857142857147,1003.85,0.6666666666666666
93,BIZKAIA,6214.0,1,30.175,7.333333333333333,4.95,997.675,0.5
94,CANTABRIA,25692.0,1,16.5,7.042857142857143,8.157142857142857,973.23,0.5
95,CASTELLON,7810.0,1,0.0666666666666666,6.766666666666667,7.9,930.45,7.25
96,ILLES BALEARS,5633.0,1,0.275,11.6625,7.05,992.65,4.7
97,ILLES BALEARS,581.0,1,1.3,9.9125,3.3,999.0,6.175
