,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
30,A CORUNA,576646.0,1,4.4750000000000005,10.541666666666666,7.15,1016.85,4.75
34,BARCELONA,316730.0,1,0.4166666666666667,9.966666666666669,2.5,996.9666666666667,5.933333333333334
52,A CORUNA,1264699.0,1,0.48,8.8,10.54,1024.0833333333333,3.766666666666667
53,ALICANTE,543875.0,1,4.833333333333333,9.166666666666666,5.266666666666667,1011.7249999999999,2.7
58,BURGOS,313965.0,1,0.24,2.72,6.375,928.45,4.7
61,ILLES BALEARS,569332.0,1,83.875,10.4,6.477777777777778,1013.43,0.1
73,VALENCIA,1033730.0,1,53.614285714285714,9.071428571428571,5.233333333333333,982.6833333333334,0.0
75,A CORUNA,490272.0,1,0.24,9.06,10.12,1019.05,0.9666666666666668
76,ALICANTE,1260522.0,1,42.66666666666666,8.3,4.533333333333333,1010.325,2.1
85,ILLES BALEARS,428220.0,1,20.48888888888889,10.875,6.300000000000001,1013.87,0.8
90,MURCIA,431228.0,1,27.0875,6.800000000000001,4.475,983.69,0.0166666666666666
101,ALICANTE,489098.0,1,2.4000000000000004,12.05,4.75,1009.8,4.1
109,ILLES BALEARS,425610.0,1,7.611111111111111,11.711111111111112,8.744444444444445,1014.4200000000001,0.56
119,TARRAGONA,626947.0,1,91.45,9.166666666666666,8.133333333333333,1013.95,0.0
122,VALENCIA,1297283.0,1,27.457142857142856,9.228571428571428,3.3,981.35,0.2
150,BARCELONA,944524.0,1,0.3166666666666666,10.8,1.8,992.0833333333333,4.566666666666666
305,SEGOVIA,718025.0,1,4.3,3.4,7.5,853.125,1.9
320,GIPUZKOA,318820.0,1,9.683333333333334,11.033333333333331,6.433333333333333,992.61,0.5666666666666667
417,BARCELONA,738280.0,1,0.3333333333333333,14.2,5.15,985.6166666666666,2.533333333333333
477,GIPUZKOA,389080.0,1,2.85,20.1,7.400000000000001,982.97,0.0
479,HUELVA,592401.0,1,21.666666666666668,19.2,7.766666666666666,1003.6333333333332,0.0
484,NAVARRA,465153.0,1,4.7,16.2,6.575,964.4000000000001,0.0
494,GIPUZKOA,649634.0,1,0.25,19.15,4.0,983.99,4.766666666666667
501,NAVARRA,346172.0,1,0.08,18.475,4.575,964.6,4.3
520,HUELVA,628685.0,1,15.133333333333333,18.266666666666666,2.9,1008.05,0.7
