,provincia,SCRI
0,A CORUNA,1.1111111111111112
1,ALICANTE,1.375
2,ALMERIA,1.0
3,ARABA,1.0
4,ASTURIAS,1.0
5,AVILA,1.0
6,BADAJOZ,1.0
7,BARCELONA,1.9230769230769231
8,BIZKAIA,1.0526315789473684
9,BURGOS,1.04
10,CACERES,1.0
11,CADIZ,1.0
12,CANTABRIA,1.0
13,CASTELLON,1.0
14,CIUDAD REAL,1.0
15,CORDOBA,1.0
16,CUENCA,2.0
17,GIPUZKOA,1.125
18,GIRONA,1.0769230769230769
19,GUADALAJARA,1.0
20,HUELVA,1.6666666666666667
21,HUESCA,1.0
22,ILLES BALEARS,1.1923076923076923
23,LA RIOJA,1.0
24,LAS PALMAS,4.0
25,LEON,1.0
26,LLEIDA,1.0
27,LUGO,1.0
28,MADRID,1.0
29,MALAGA,1.0
30,MURCIA,1.125
31,NAVARRA,1.1818181818181819
32,OURENSE,1.0
33,PALENCIA,1.0
34,PONTEVEDRA,1.0
35,SALAMANCA,1.0
36,SANTA CRUZ DE TENERIFE,2.0
37,SEGOVIA,1.0555555555555556
38,SEVILLA,1.0
39,SORIA,1.0
40,TARRAGONA,1.1111111111111112
41,TERUEL,1.0
42,TOLEDO,1.0
43,VALENCIA,1.4
44,ZAMORA,1.0
45,ZARAGOZA,1.0
