,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
0,ALICANTE,163175.0,1,0.0,6.925000000000001,2.275,1006.7333333333333,7.899999999999999
1,ASTURIAS,291238.0,3,16.238518518518518,3.2060606060606065,2.8095238095238098,980.1312500000001,0.7517857142857144
2,CANTABRIA,320819.0,4,22.182738095238093,3.997619047619048,5.134166666666667,987.61,1.55
3,ASTURIAS,12770.0,1,7.95,3.1181818181818177,2.9375,978.0374999999999,1.0714285714285714
4,BARCELONA,5849.0,1,0.0499999999999999,4.583333333333333,1.95,982.3833333333332,5.633333333333333
5,CADIZ,6826.0,1,16.82857142857143,8.328571428571427,3.771428571428572,987.2928571428572,1.05
6,CANTABRIA,17683.0,1,7.8,3.2857142857142856,2.183333333333333,988.8499999999999,0.2333333333333333
7,MALAGA,905.0,1,6.95,10.72,2.283333333333333,1009.1800000000001,2.2
8,ALMERIA,77769.0,1,15.533333333333331,7.18,3.04,980.79,0.0
9,CANTABRIA,5921.0,1,1.6285714285714286,3.4714285714285715,2.316666666666667,991.0,2.466666666666667
10,MALAGA,49326.0,1,27.22,10.3,4.616666666666666,1000.2333333333333,0.0
11,ALICANTE,52417.0,1,25.275,6.7,4.375,1002.8166666666666,0.0
12,CADIZ,28443.0,1,27.75714285714286,8.657142857142857,4.142857142857143,985.25,0.0
13,LAS PALMAS,463838.0,1,9.314285714285711,21.428571428571427,6.05,1003.0699999999999,5.0
14,MALAGA,50790.0,1,48.1,9.38,2.966666666666667,995.52,0.0
15,ALICANTE,14952.0,1,2.4000000000000004,7.125,2.35,1000.0333333333332,1.2333333333333334
16,ALMERIA,1627.0,1,21.600000000000005,9.075,4.1,995.9125,0.0
17,CADIZ,1437096.0,1,31.457142857142856,10.914285714285716,4.585714285714286,980.6857142857142,0.0
18,CANTABRIA,11129.0,1,0.0,2.542857142857143,2.1166666666666667,991.5699999999999,7.166666666666667
19,CORDOBA,760.0,1,26.625,5.475,2.8,949.5,0.0
20,LAS PALMAS,7380.0,1,8.828571428571427,18.214285714285715,4.985714285714286,1006.69,5.6000000000000005
22,SEVILLA,18186.0,1,31.32,7.76,3.56,973.6500000000001,0.0
23,TERUEL,2139.0,1,16.8,-1.225,1.05,923.5666666666666,0.0999999999999999
24,VALENCIA,3027.0,1,22.266666666666666,5.185714285714285,2.76,974.2833333333333,0.0
25,CADIZ,11925.0,1,4.928571428571429,7.742857142857143,3.8857142857142857,984.6499999999999,5.75
26,CASTELLON,1748.0,1,22.0,-0.4333333333333334,2.5,938.7249999999999,0.0
27,MADRID,216288.0,1,0.0125,-1.2583333333333335,2.1888888888888887,904.9449999999999,4.383333333333334
28,MALAGA,986615.0,1,2.2,9.9,1.75,992.72,3.7
29,SEVILLA,4864.0,1,0.525,5.95,3.12,971.9000000000001,7.7
30,TARRAGONA,632.0,1,20.65,3.0,3.9,1000.2750000000001,0.0
31,VALENCIA,460.0,1,3.483333333333333,4.357142857142857,1.94,970.7333333333333,0.0
32,MALAGA,215828.0,1,17.38,6.34,1.7400000000000002,999.02,0.05
33,TARRAGONA,17041.0,1,2.15,4.5,2.6500000000000004,1004.7,0.0
34,ASTURIAS,906.0,1,0.0,4.7727272727272725,2.455555555555556,995.33125,7.5875
35,A CORUNA,1383.0,1,0.0125,8.0875,2.3000000000000003,1010.45,7.5
36,BADAJOZ,100086.0,1,13.866666666666667,12.0,4.9,968.23,1.9
37,BARCELONA,17985.0,1,0.0833333333333333,8.316666666666666,1.866666666666667,998.3999999999999,2.6
38,CANTABRIA,386.0,1,1.2428571428571429,5.528571428571429,3.8,1006.0,1.6666666666666667
39,ILLES BALEARS,14282.0,1,0.0,11.333333333333334,4.655555555555555,1020.73,8.780000000000001
40,MADRID,30122.0,2,0.0307692307692307,2.018269230769231,1.62,918.245,7.258333333333334
41,PONTEVEDRA,19288.0,1,23.5,8.8,5.449999999999999,993.15,0.7
42,A CORUNA,20810.0,1,27.2375,11.925,10.2125,981.74,2.25
43,CADIZ,80798.0,1,37.71428571428572,12.614285714285714,5.971428571428571,996.7928571428572,0.15
44,LUGO,1700.0,1,19.8,9.2,4.4,949.75,0.0
45,MADRID,1612.0,1,4.630769230769231,1.9615384615384608,2.92,906.9300000000001,0.35
46,MALAGA,952.0,1,19.9,10.04,1.88,1007.0,0.0
47,CADIZ,1468.0,1,0.8571428571428571,14.114285714285714,5.671428571428572,1000.8571428571428,8.350000000000001
48,LUGO,19858.0,1,40.0,10.0,6.7,951.35,2.7
49,MALAGA,2015.0,1,0.6,13.22,1.6,1008.97,2.6
50,PONTEVEDRA,1395.0,1,32.95,11.7,6.65,982.075,0.1
51,A CORUNA,14593.0,1,3.8125,11.7875,3.475,992.02,0.44
52,GRANADA,2312.0,1,6.95,8.600000000000001,2.2,947.175,3.85
53,ILLES BALEARS,73.0,1,5.966666666666666,13.5,7.01,1004.6583333333333,3.25
54,PONTEVEDRA,11532.0,2,13.75,10.425,4.25,987.6375,1.325
55,SEGOVIA,13843.0,1,4.5,2.9000000000000004,5.0,855.8499999999999,0.65
56,MADRID,88457.0,3,2.575,10.594444444444443,2.48,916.0933333333332,3.3777777777777778
57,MALAGA,750.0,1,1.9666666666666663,15.466666666666669,3.1,1010.1833333333332,1.35
58,SANTA CRUZ DE TENERIFE,58594.0,1,0.01,18.3,2.388888888888889,985.29,9.466666666666669
59,SORIA,62044.0,2,4.7,8.65,2.5,895.0250000000001,2.4
60,SANTA CRUZ DE TENERIFE,67.0,1,0.0,18.36,2.288888888888889,987.21,9.183333333333334
61,A CORUNA,12718.0,2,17.025,13.0875,7.96875,990.775,0.1775
62,ASTURIAS,33562.0,1,38.08888888888889,7.481818181818181,2.555555555555556,974.1875,0.0
63,BADAJOZ,24712.0,1,10.166666666666666,11.75,2.6833333333333336,964.9300000000001,0.78
64,CACERES,32177.0,1,25.660000000000004,10.06,2.1,968.6624999999999,0.2333333333333333
65,PONTEVEDRA,38954.0,2,26.2,12.125,4.85,988.7875,0.85
66,SEGOVIA,506.0,1,10.8,7.8,6.7,899.5,0.1
67,ARABA,8345.0,1,4.15,6.5,3.1,945.75,0.0
68,BADAJOZ,1385.0,1,13.8,11.0,3.1333333333333333,958.9300000000001,1.58
69,CANTABRIA,19395.0,1,23.928571428571427,9.414285714285716,1.6857142857142855,984.63,0.0
70,MADRID,3365.0,1,8.825000000000001,10.183333333333334,2.81,900.12,6.9
71,A CORUNA,172387.0,1,19.5,7.925,6.8125,984.84,0.8600000000000001
72,ASTURIAS,4980.0,1,11.8,5.9363636363636365,2.511111111111111,973.6625,0.0125
73,CANTABRIA,163641.0,1,11.05714285714286,7.257142857142858,5.485714285714286,983.2,0.0
74,A CORUNA,35243.0,1,10.94285714285714,9.457142857142856,8.842857142857143,975.71,2.84
75,ASTURIAS,34237.0,1,1.0666666666666669,9.590909090909092,3.9666666666666655,964.89375,4.4625
76,BARCELONA,8746.0,1,1.8166666666666664,9.483333333333333,2.3666666666666667,974.9833333333333,2.6
77,CADIZ,34975.0,1,5.5,13.571428571428571,5.971428571428571,992.5857142857144,6.6
78,CANTABRIA,16711.0,1,0.6285714285714287,6.842857142857143,2.7285714285714286,980.47,1.0666666666666669
