,provincia,SCRI
0,A CORUNA,1.0
1,ALBACETE,1.0
2,ALICANTE,1.0
3,ALMERIA,1.0
4,ARABA,1.0
5,ASTURIAS,1.0
6,AVILA,1.0909090909090908
7,BADAJOZ,1.0384615384615385
8,BARCELONA,1.0
9,BIZKAIA,1.0909090909090908
10,BURGOS,1.0
11,CACERES,1.0
12,CADIZ,1.0303030303030303
13,CANTABRIA,1.02
14,CASTELLON,1.0588235294117647
15,CEUTA,1.0
16,CIUDAD REAL,1.0
17,CORDOBA,1.0
18,CUENCA,1.0
19,GIPUZKOA,1.0
20,GIRONA,1.0
21,GRANADA,1.0
22,GUADALAJARA,1.0
23,HUELVA,1.0909090909090908
24,HUESCA,1.0
25,ILLES BALEARS,1.0
26,JAEN,1.0
27,LA RIOJA,1.0
28,LAS PALMAS,1.0
29,LEON,1.0
30,LLEIDA,1.0
31,LUGO,1.0
32,MADRID,1.0135135135135136
33,MALAGA,1.0344827586206897
34,MELILLA,1.0
35,MURCIA,1.0
36,NAVARRA,1.125
37,OURENSE,1.0
38,PALENCIA,1.0
39,PONTEVEDRA,1.0
40,SALAMANCA,1.0
41,SANTA CRUZ DE TENERIFE,1.0
42,SEGOVIA,1.0
43,SEVILLA,1.04
44,SORIA,1.0
45,TARRAGONA,1.025
46,TERUEL,1.0
47,TOLEDO,1.0357142857142858
48,VALENCIA,1.0512820512820513
49,VALLADOLID,1.0
50,ZAMORA,1.0
51,ZARAGOZA,1.0666666666666667
