,provincia,coste,duration,prec,tmed,velmedia,presmed,sol
0,ASTURIAS,696.0,1,13.055555555555555,4.0,3.525,978.0,0.6714285714285715
1,ALICANTE,50857.0,1,2.4000000000000004,7.125,2.35,1000.0333333333332,1.2333333333333334
2,CADIZ,7911.0,1,27.75714285714286,8.657142857142857,4.142857142857143,985.25,0.0
3,CASTELLON,29124.0,1,5.0,0.3,2.2,943.075,0.0
5,MALAGA,31578.0,1,64.96000000000001,11.15,8.0,990.49,0.0
9,BARCELONA,19279.0,1,8.683333333333334,4.066666666666666,7.366666666666666,979.2833333333333,0.0
11,CASTELLON,30280.0,1,22.0,-0.4333333333333334,2.5,938.7249999999999,0.0
12,GIRONA,22945.0,1,19.066666666666663,0.825,3.8,905.7249999999999,0.0
17,PONTEVEDRA,3207.0,1,45.05,12.4,5.4,990.05,0.0
20,A CORUNA,2210.0,1,21.8125,12.4625,8.200000000000001,986.8199999999999,0.6
28,TARRAGONA,1745.0,1,27.8,21.35,2.65,1010.55,0.2
34,CADIZ,173953.0,1,11.657142857142857,15.771428571428572,3.128571428571429,998.5214285714286,2.0
36,VALENCIA,5329.0,1,20.816666666666663,13.15,1.92,992.4166666666665,1.1
37,MALAGA,168624.0,1,2.76,15.733333333333334,3.12,1008.05,0.0
